ReportingPartyUUID,ReportingPartyFirstName,ReportingPartyLastName,ReportingPartyUnit,ReportingPartyPosition,ReportingPartyOrganization,ReportingPartyDepartment,ReportingPartyEmail,ReportingPartyPhone,ReportingPartyDSN,ReportingPartyMailingAddress,ReportingPartyCombatantOrNonCombatant,ReportingPartyConsent,ReportingPartyAdditionalNotes,ReportingPartySecurityClearance,ReportingPartyGender,ReportingPartyAge,ReportingPartyNationality,ReportingPartyOccupation,ReportingPartyAttachments
6f4bd598-b981-49f7-bab7-d85484cf3247,Alice,Smith,1st Battalion,Reconnaissance Officer,UNHCR,Reconnaissance,eve.lee@unhcr.org,123-456-7890,432-1098,"123 Main St, Fort Bragg, NC 28307, USA",Combatant,Yes,Civilian casualties involved,Confidential,Male,29,British,Reconnaissance Officer,Documents
e367428c-e5d8-45d6-9be9-6933033f1a8f,Alice,Taylor,3rd Company,Captain,Red Cross,Reconnaissance,charlie.brown@marines.mil,987-654-3210,432-1098,"123 Main St, Fort Bragg, NC 28307, USA",Non-Combatant,Yes,High priority case,Secret,Female,33,British,Reconnaissance Officer,Images
8afed610-bc23-4b1c-994c-f46b07fe18cb,Eve,Brown,2nd Brigade,Lieutenant,US Marines,Humanitarian Aid,bob.johnson@redcross.org,123-456-7890,312-3456,"789 Oak St, Camp Leatherneck, Afghanistan",Non-Combatant,Yes,None,Secret,Female,41,American,Humanitarian Worker,Images
0a6804d9-c4a1-4c21-b7d2-5645b945fb73,Charlie,Lee,3rd Company,Reconnaissance Officer,US Marines,Reconnaissance,david.taylor@nato.int,123-456-7890,312-3456,"456 Elm St, Baghdad, Iraq",Non-Combatant,Yes,None,Top Secret,Male,44,American,Intelligence Officer,None
b3540e50-9074-4c21-9528-21ff289a19ef,Charlie,Johnson,4th Division,Reconnaissance Officer,UNHCR,Reconnaissance,david.taylor@nato.int,123-456-7890,312-3456,"456 Elm St, Baghdad, Iraq",Non-Combatant,No,Civilian casualties involved,Top Secret,Male,27,Canadian,Humanitarian Worker,Documents
9daf3ea8-5bd2-4c10-8b82-008c49f8a3d4,Eve,Johnson,3rd Company,Lieutenant,UNHCR,Intelligence,eve.lee@unhcr.org,987-654-3210,432-1098,"456 Elm St, Baghdad, Iraq",Non-Combatant,Yes,High priority case,Confidential,Female,40,Canadian,Intelligence Officer,Images
683d7d24-2999-4083-8f5d-929ad69027d4,Alice,Smith,2nd Brigade,Field Officer,UNHCR,Humanitarian Aid,eve.lee@unhcr.org,987-654-3210,312-3456,"456 Elm St, Baghdad, Iraq",Non-Combatant,Yes,Civilian casualties involved,Confidential,Female,40,American,Reconnaissance Officer,Images
974f967b-3422-48ac-8ae6-d1b95d9fde04,Alice,Lee,2nd Brigade,Lieutenant,US Marines,Humanitarian Aid,alice.smith@army.mil,123-456-7890,312-3456,"123 Main St, Fort Bragg, NC 28307, USA",Non-Combatant,No,None,Top Secret,Male,37,Canadian,Reconnaissance Officer,Images
f2ee2507-1cef-4123-9e80-7341aa14ef58,Eve,Smith,1st Battalion,Captain,US Army,Humanitarian Aid,charlie.brown@marines.mil,123-456-7890,312-3456,"789 Oak St, Camp Leatherneck, Afghanistan",Non-Combatant,No,High priority case,Secret,Male,49,American,Reconnaissance Officer,Documents
af2ac7b6-a1f0-465e-8dab-215a13e1a6cd,David,Smith,3rd Company,Field Officer,NATO,Humanitarian Aid,charlie.brown@marines.mil,987-654-3210,214-5678,"123 Main St, Fort Bragg, NC 28307, USA",Combatant,No,Civilian casualties involved,Secret,Female,33,Canadian,Humanitarian Worker,Documents
db6f5ac6-66d4-4c35-95c9-3b3a38cf9041,Bob,Smith,4th Division,Field Officer,US Marines,Humanitarian Aid,bob.johnson@redcross.org,987-654-3210,312-3456,"789 Oak St, Camp Leatherneck, Afghanistan",Non-Combatant,Yes,High priority case,Confidential,Female,35,American,Reconnaissance Officer,None
78f81463-9c2e-41c1-a73a-3d7539ca31e8,Charlie,Lee,1st Battalion,Lieutenant,Red Cross,Humanitarian Aid,charlie.brown@marines.mil,123-456-7890,432-1098,"123 Main St, Fort Bragg, NC 28307, USA",Combatant,No,None,Confidential,Female,26,American,Humanitarian Worker,Documents
32df9035-efe7-40b7-afb3-7a40e5976440,Eve,Brown,4th Division,Lieutenant,Red Cross,Intelligence,bob.johnson@redcross.org,321-654-0987,432-1098,"789 Oak St, Camp Leatherneck, Afghanistan",Non-Combatant,No,High priority case,Top Secret,Female,46,British,Reconnaissance Officer,Images
17aa2237-388c-4735-abb9-290059d92a1c,Bob,Brown,2nd Brigade,Field Officer,NATO,Humanitarian Aid,alice.smith@army.mil,987-654-3210,214-5678,"789 Oak St, Camp Leatherneck, Afghanistan",Non-Combatant,No,Civilian casualties involved,Secret,Male,50,American,Reconnaissance Officer,Images
5e75f956-2829-4dc1-aa54-c2bb1aae04cb,Charlie,Taylor,3rd Company,Lieutenant,US Marines,Humanitarian Aid,david.taylor@nato.int,123-456-7890,312-3456,"456 Elm St, Baghdad, Iraq",Non-Combatant,Yes,None,Confidential,Male,24,Canadian,Reconnaissance Officer,Images
18c55998-0d1b-46c2-9699-9e38410b507a,Eve,Brown,2nd Brigade,Captain,UNHCR,Intelligence,eve.lee@unhcr.org,321-654-0987,312-3456,"123 Main St, Fort Bragg, NC 28307, USA",Combatant,Yes,High priority case,Secret,Female,44,American,Humanitarian Worker,Images
bd478571-b0cd-4e4b-a07e-f23cf3c479e4,Bob,Taylor,2nd Brigade,Lieutenant,US Marines,Humanitarian Aid,david.taylor@nato.int,321-654-0987,312-3456,"456 Elm St, Baghdad, Iraq",Combatant,No,Civilian casualties involved,Top Secret,Male,38,Canadian,Reconnaissance Officer,None
a57424a6-6895-4347-a9f5-fb668456b8de,Eve,Smith,4th Division,Field Officer,US Marines,Humanitarian Aid,charlie.brown@marines.mil,321-654-0987,312-3456,"123 Main St, Fort Bragg, NC 28307, USA",Non-Combatant,No,None,Top Secret,Male,44,American,Humanitarian Worker,None
caf1efb4-3d63-489d-be87-45c9947fa756,David,Taylor,4th Division,Reconnaissance Officer,UNHCR,Intelligence,alice.smith@army.mil,123-456-7890,312-3456,"789 Oak St, Camp Leatherneck, Afghanistan",Combatant,Yes,None,Top Secret,Female,30,American,Reconnaissance Officer,None
0f0f8da7-307d-4607-88cb-8d3e675e6813,Bob,Lee,1st Battalion,Captain,US Army,Intelligence,bob.johnson@redcross.org,123-456-7890,214-5678,"456 Elm St, Baghdad, Iraq",Non-Combatant,Yes,Civilian casualties involved,Secret,Female,37,American,Humanitarian Worker,Images
0fc70d39-62de-4bdb-b0ba-a55f4867442c,Eve,Taylor,1st Battalion,Captain,US Marines,Intelligence,bob.johnson@redcross.org,321-654-0987,214-5678,"123 Main St, Fort Bragg, NC 28307, USA",Combatant,No,None,Top Secret,Male,36,Canadian,Reconnaissance Officer,Documents
5b1cf443-8ef3-44df-b0f3-a08cacdecfc5,Alice,Lee,4th Division,Lieutenant,US Army,Humanitarian Aid,eve.lee@unhcr.org,123-456-7890,432-1098,"123 Main St, Fort Bragg, NC 28307, USA",Non-Combatant,Yes,Civilian casualties involved,Secret,Female,39,American,Intelligence Officer,Images
2961d4db-31c0-4c88-8be8-0e7246011051,Eve,Johnson,3rd Company,Field Officer,NATO,Humanitarian Aid,alice.smith@army.mil,123-456-7890,432-1098,"123 Main St, Fort Bragg, NC 28307, USA",Non-Combatant,No,None,Confidential,Male,30,British,Humanitarian Worker,Images
bff458f9-e600-4246-bd0d-8979d30883a1,Bob,Lee,3rd Company,Reconnaissance Officer,UNHCR,Reconnaissance,charlie.brown@marines.mil,123-456-7890,312-3456,"789 Oak St, Camp Leatherneck, Afghanistan",Non-Combatant,Yes,High priority case,Secret,Male,35,British,Humanitarian Worker,Images
f6b36d84-d83e-4622-a64e-d354eeab1b89,Charlie,Johnson,4th Division,Lieutenant,NATO,Reconnaissance,bob.johnson@redcross.org,987-654-3210,432-1098,"789 Oak St, Camp Leatherneck, Afghanistan",Non-Combatant,Yes,High priority case,Top Secret,Male,21,Canadian,Humanitarian Worker,None
